"userId","questionNumber","graphType","timestamp","correctAnswer","answer","serverTime",
697610459,0,"bar",1645842841010,13,13,1645842841506,
99282852,0,"bar",1645842857048,61,61,1645842857537,
697610459,1,"area",1645842861808,98,98,1645842862290,
697610459,2,"bubble",1645842867557,25,25,1645842868024,
99282852,1,"area",1645842876011,38,38,1645842876588,
99282852,2,"bubble",1645842885292,25,25,1645842885800,
434848981,0,"bar",1645842887978,79,79,1645842888234,
697610459,3,"bar",1645842890745,95,90,1645842891176,
697610459,4,"area",1645842907619,19,20,1645842908054,
99282852,3,"bar",1645842908659,30,33,1645842909151,
697610459,5,"bubble",1645842919006,26,30,1645842919428,
434848981,1,"area",1645842924018,100,100,1645842924277,
99282852,4,"area",1645842924862,41,50,1645842925329,
697610459,6,"bar",1645842925991,77,80,1645842926487,
434848981,2,"bubble",1645842927569,25,25,1645842927620,
434848981,3,"bar",1645842932570,47,48,1645842932619,
99282852,5,"bubble",1645842932975,100,80,1645842933529,
697610459,7,"area",1645842934982,19,85,1645842935396,
434848981,4,"area",1645842938678,31,30,1645842938946,
434848981,5,"bubble",1645842942976,71,95,1645842943028,
697610459,8,"bubble",1645842943337,78,75,1645842943791,
434848981,6,"bar",1645842949952,92,94,1645842950212,
697610459,9,"bar",1645842952785,13,15,1645842953237,
434848981,7,"area",1645842953400,76,75,1645842953450,
697610459,10,"area",1645842957742,17,80,1645842958156,
99282852,6,"bar",1645842959566,87,98,1645842960031,
434848981,8,"bubble",1645842960726,13,24,1645842960977,
697610459,11,"bubble",1645842962765,55,90,1645842963165,
697610459,12,"bar",1645842966550,2,5,1645842966636,
434848981,9,"bar",1645842970576,83,90,1645842970844,
434848981,10,"area",1645842973468,100,66,1645842973519,
99282852,7,"area",1645842975015,5,30,1645842975502,
434848981,11,"bubble",1645842976606,88,85,1645842976656,
697610459,13,"area",1645842976391,28,25,1645842976865,
434848981,12,"bar",1645842982338,37,35,1645842982601,
99282852,8,"bubble",1645842982912,28,50,1645842983387,
434848981,13,"area",1645842986338,58,88,1645842986387,
434848981,14,"bubble",1645842989630,30,20,1645842989680,
99282852,9,"bar",1645842990043,27,33,1645842990562,
434848981,15,"bar",1645842993932,34,30,1645842993981,
697610459,14,"bubble",1645842994044,65,50,1645842994486,
99282852,10,"area",1645842997145,37,30,1645842997617,
434848981,16,"area",1645842998724,76,50,1645842998774,
697610459,15,"bar",1645843000431,22,20,1645843000938,
434848981,17,"bubble",1645843001766,43,50,1645843001815,
99282852,11,"bubble",1645843002890,48,50,1645843003369,
99282852,12,"bar",1645843007427,66,87,1645843007519,
434848981,18,"bar",1645843008432,16,15,1645843008709,
697610459,16,"area",1645843010271,19,20,1645843010765,
99282852,13,"area",1645843012060,61,25,1645843012571,
434848981,19,"area",1645843012674,2,10,1645843012723,
434848981,20,"bubble",1645843014866,43,20,1645843014923,
434848981,21,"bar",1645843019930,82,82,1645843020255,
697610459,17,"bubble",1645843020933,45,40,1645843021412,
99282852,14,"bubble",1645843021744,61,20,1645843022315,
746865556,0,"bar",1645843022365,18,18,1645843022831,
434848981,22,"area",1645843023170,58,50,1645843023222,
434848981,23,"bubble",1645843026620,88,89,1645843026670,
99282852,15,"bar",1645843028877,42,40,1645843029363,
434848981,24,"bar",1645843029580,21,20,1645843029629,
697610459,18,"bar",1645843029944,57,60,1645843030433,
434848981,25,"area",1645843033470,20,16,1645843033522,
697610459,19,"area",1645843034412,86,45,1645843034499,
746865556,1,"area",1645843034300,52,52,1645843034710,
434848981,26,"bubble",1645843036596,77,76,1645843036655,
746865556,2,"bubble",1645843037929,25,25,1645843037994,
99282852,16,"area",1645843039248,42,25,1645843039810,
697610459,20,"bubble",1645843040152,11,20,1645843040560,
434848981,27,"bar",1645843041618,82,89,1645843041972,
99282852,17,"bubble",1645843043935,31,30,1645843044317,
434848981,28,"area",1645843044534,63,33,1645843044592,
99282852,18,"bar",1645843048012,67,70,1645843048122,
434848981,29,"bubble",1645843049560,55,86,1645843049909,
434848981,30,"bar",1645843052416,33,33,1645843052474,
99282852,19,"area",1645843053353,50,40,1645843053827,
434848981,31,"area",1645843055378,74,50,1645843055429,
434848981,32,"bubble",1645843057954,55,50,1645843058004,
99282852,20,"bubble",1645843057925,52,70,1645843058043,
697610459,21,"bar",1645843058418,12,15,1645843058895,
99282852,21,"bar",1645843062018,44,50,1645843062116,
434848981,33,"bar",1645843062258,20,15,1645843062309,
434848981,34,"area",1645843065360,81,100,1645843065409,
697610459,22,"area",1645843066301,17,85,1645843066890,
99282852,22,"area",1645843066707,67,50,1645843067268,
99282852,23,"bubble",1645843069913,71,40,1645843070012,
697610459,23,"bubble",1645843071395,90,95,1645843071822,
99282852,24,"bar",1645843073585,86,80,1645843073685,
697610459,24,"bar",1645843075612,45,50,1645843075699,
99282852,25,"area",1645843080102,41,45,1645843080575,
99282852,26,"bubble",1645843083725,83,75,1645843083841,
697610459,25,"area",1645843085794,0,2,1645843086145,
99282852,27,"bar",1645843088985,20,20,1645843089471,
697610459,26,"bubble",1645843091070,90,99,1645843091377,
99282852,28,"area",1645843094049,54,50,1645843094495,
746865556,3,"bar",1645843097778,78,75,1645843098090,
99282852,29,"bubble",1645843098677,13,10,1645843099200,
697610459,27,"bar",1645843100198,95,95,1645843100697,
697610459,28,"area",1645843106961,83,45,1645843107431,
99282852,30,"bar",1645843111489,79,80,1645843112010,
697610459,29,"bubble",1645843112239,97,95,1645843112560,
99282852,31,"area",1645843116845,90,60,1645843117334,
