,userId,questionNumber,graphType,timestamp,correctAnswer,answer,serverTime,Unnamed: 7,error,type
0,697610459,0,bar,1645842841010,13,13,1645842841506,,-3.0,bar Feedback
2,697610459,1,area,1645842861808,98,98,1645842862290,,-3.0,area Feedback
3,697610459,2,bubble,1645842867557,25,25,1645842868024,,-3.0,bubble Feedback
6,434848981,0,bar,1645842887978,79,79,1645842888234,,-3.0,bar Feedback
7,697610459,3,bar,1645842890745,95,90,1645842891176,,2.357552004618084,bar Feedback
8,697610459,4,area,1645842907619,19,20,1645842908054,,0.16992500144231237,area Feedback
10,697610459,5,bubble,1645842919006,26,30,1645842919428,,2.0443941193584534,bubble Feedback
11,434848981,1,area,1645842924018,100,100,1645842924277,,-3.0,area Feedback
13,697610459,6,bar,1645842925991,77,80,1645842926487,,1.6438561897747248,bar Feedback
14,434848981,2,bubble,1645842927569,25,25,1645842927620,,-3.0,bubble Feedback
15,434848981,3,bar,1645842932570,47,48,1645842932619,,0.16992500144231237,bar Feedback
17,697610459,7,area,1645842934982,19,85,1645842935396,,6.047123912114025,area Feedback
18,434848981,4,area,1645842938678,31,30,1645842938946,,0.16992500144231237,area Feedback
19,434848981,5,bubble,1645842942976,71,95,1645842943028,,4.592457037268081,bubble Feedback
20,697610459,8,bubble,1645842943337,78,75,1645842943791,,1.6438561897747248,bubble Feedback
21,434848981,6,bar,1645842949952,92,94,1645842950212,,1.0874628412503395,bar Feedback
22,697610459,9,bar,1645842952785,13,15,1645842953237,,1.0874628412503395,bar Feedback
23,434848981,7,area,1645842953400,76,75,1645842953450,,0.16992500144231237,area Feedback
24,697610459,10,area,1645842957742,17,80,1645842958156,,5.980139577639157,area Feedback
26,434848981,8,bubble,1645842960726,13,24,1645842960977,,3.4757334309663976,bubble Feedback
27,697610459,11,bubble,1645842962765,55,90,1645842963165,,5.134426320220926,bubble Feedback
28,697610459,12,bar,1645842966550,2,5,1645842966636,,1.6438561897747248,bar Feedback
29,434848981,9,bar,1645842970576,83,90,1645842970844,,2.8328900141647417,bar Feedback
30,434848981,10,area,1645842973468,100,66,1645842973519,,5.092757140919853,area Feedback
32,434848981,11,bubble,1645842976606,88,85,1645842976656,,1.6438561897747248,bubble Feedback
33,697610459,13,area,1645842976391,28,25,1645842976865,,1.6438561897747248,area Feedback
34,434848981,12,bar,1645842982338,37,35,1645842982601,,1.0874628412503395,bar Feedback
36,434848981,13,area,1645842986338,58,88,1645842986387,,4.912889336229962,area Feedback
37,434848981,14,bubble,1645842989630,30,20,1645842989680,,3.339850002884625,bubble Feedback
39,434848981,15,bar,1645842993932,34,30,1645842993981,,2.0443941193584534,bar Feedback
40,697610459,14,bubble,1645842994044,65,50,1645842994486,,3.9188632372745946,bubble Feedback
42,434848981,16,area,1645842998724,76,50,1645842998774,,4.707359132080883,area Feedback
43,697610459,15,bar,1645843000431,22,20,1645843000938,,1.0874628412503395,bar Feedback
44,434848981,17,bubble,1645843001766,43,50,1645843001815,,2.8328900141647417,bubble Feedback
47,434848981,18,bar,1645843008432,16,15,1645843008709,,0.16992500144231237,bar Feedback
48,697610459,16,area,1645843010271,19,20,1645843010765,,0.16992500144231237,area Feedback
50,434848981,19,area,1645843012674,2,10,1645843012723,,3.0223678130284544,area Feedback
51,434848981,20,bubble,1645843014866,43,20,1645843014923,,4.531381460516313,bubble Feedback
52,434848981,21,bar,1645843019930,82,82,1645843020255,,-3.0,bar Feedback
53,697610459,17,bubble,1645843020933,45,40,1645843021412,,2.357552004618084,bubble Feedback
56,434848981,22,area,1645843023170,58,50,1645843023222,,3.0223678130284544,area Feedback
57,434848981,23,bubble,1645843026620,88,89,1645843026670,,0.16992500144231237,bubble Feedback
59,434848981,24,bar,1645843029580,21,20,1645843029629,,0.16992500144231237,bar Feedback
60,697610459,18,bar,1645843029944,57,60,1645843030433,,1.6438561897747248,bar Feedback
61,434848981,25,area,1645843033470,20,16,1645843033522,,2.0443941193584534,area Feedback
62,697610459,19,area,1645843034412,86,45,1645843034499,,5.361943773735242,area Feedback
64,434848981,26,bubble,1645843036596,77,76,1645843036655,,0.16992500144231237,bubble Feedback
67,697610459,20,bubble,1645843040152,11,20,1645843040560,,3.189824558880017,bubble Feedback
68,434848981,27,bar,1645843041618,82,89,1645843041972,,2.8328900141647417,bar Feedback
70,434848981,28,area,1645843044534,63,33,1645843044592,,4.912889336229962,area Feedback
72,434848981,29,bubble,1645843049560,55,86,1645843049909,,4.960001932068081,bubble Feedback
73,434848981,30,bar,1645843052416,33,33,1645843052474,,-3.0,bar Feedback
75,434848981,31,area,1645843055378,74,50,1645843055429,,4.592457037268081,area Feedback
76,434848981,32,bubble,1645843057954,55,50,1645843058004,,2.357552004618084,bubble Feedback
78,697610459,21,bar,1645843058418,12,15,1645843058895,,1.6438561897747248,bar Feedback
80,434848981,33,bar,1645843062258,20,15,1645843062309,,2.357552004618084,bar Feedback
81,434848981,34,area,1645843065360,81,100,1645843065409,,4.257387842692652,area Feedback
82,697610459,22,area,1645843066301,17,85,1645843066890,,6.090112419664289,area Feedback
85,697610459,23,bubble,1645843071395,90,95,1645843071822,,2.357552004618084,bubble Feedback
87,697610459,24,bar,1645843075612,45,50,1645843075699,,2.357552004618084,bar Feedback
90,697610459,25,area,1645843085794,0,2,1645843086145,,1.0874628412503395,area Feedback
92,697610459,26,bubble,1645843091070,90,99,1645843091377,,3.189824558880017,bubble Feedback
96,697610459,27,bar,1645843100198,95,95,1645843100697,,-3.0,bar Feedback
97,697610459,28,area,1645843106961,83,45,1645843107431,,5.252665432450248,area Feedback
99,697610459,29,bubble,1645843112239,97,95,1645843112560,,1.0874628412503395,bubble Feedback
101,697610459,30,bar,1645843118713,0,0,1645843119207,,-3.0,bar Feedback
105,697610459,31,area,1645843129434,65,75,1645843129855,,3.339850002884625,area Feedback
108,434848981,35,bubble,1645843135368,69,60,1645843135634,,3.189824558880017,bubble Feedback
109,434848981,36,bar,1645843138680,21,20,1645843138733,,0.16992500144231237,bar Feedback
111,697610459,32,bubble,1645843140203,11,15,1645843140711,,2.0443941193584534,bubble Feedback
113,434848981,37,area,1645843142930,74,80,1645843142980,,2.6147098441152083,area Feedback
115,697610459,33,bar,1645843146332,64,70,1645843146794,,2.6147098441152083,bar Feedback
118,697610459,34,area,1645843150604,86,60,1645843150692,,4.707359132080883,area Feedback
122,697610459,35,bubble,1645843159385,70,80,1645843159870,,3.339850002884625,bubble Feedback
126,434848981,38,bubble,1645843167878,74,70,1645843168144,,2.0443941193584534,bubble Feedback
128,697610459,36,bar,1645843169638,50,50,1645843170103,,-3.0,bar Feedback
131,434848981,39,bar,1645843175238,27,25,1645843175507,,1.0874628412503395,bar Feedback
133,697610459,37,area,1645843178448,83,60,1645843178911,,4.531381460516313,area Feedback
134,434848981,40,area,1645843179152,3,3,1645843179201,,-3.0,area Feedback
137,434848981,41,bubble,1645843181896,39,50,1645843181944,,3.4757334309663976,bubble Feedback
140,697610459,38,bubble,1645843185124,48,50,1645843185564,,1.0874628412503395,bubble Feedback
142,697610459,39,bar,1645843189681,73,75,1645843189768,,1.0874628412503395,bar Feedback
145,697610459,40,area,1645843195590,45,70,1645843196007,,4.651051691178929,area Feedback
147,697610459,41,bubble,1645843200485,17,15,1645843200837,,1.0874628412503395,bubble Feedback
150,697610459,42,bar,1645843204308,0,0,1645843204392,,-3.0,bar Feedback
153,434848981,42,bar,1645843207406,68,70,1645843207706,,1.0874628412503395,bar Feedback
154,697610459,43,area,1645843209165,59,45,1645843209537,,3.820178962415188,area Feedback
157,434848981,43,area,1645843213208,64,55,1645843213471,,3.189824558880017,area Feedback
158,434848981,44,bubble,1645843215186,42,55,1645843215235,,3.7142455176661224,bubble Feedback
159,697610459,44,bubble,1645843214976,32,20,1645843215482,,3.5999128421871283,bubble Feedback
162,434848981,45,bar,1645843217640,92,95,1645843217689,,1.6438561897747248,bar Feedback
164,434848981,46,area,1645843220346,92,100,1645843220398,,3.0223678130284544,area Feedback
